Топик,Количество,Процент
атмосфера,0,0.0
больничный,3,0.035714
график работы,3,0.035714
дмс,0,0.0
задачи,2,0.02381
зарплата,26,0.309524
испытательный срок,0,0.0
карьерный рост,0,0.0
коллектив,24,0.285714
корпоративная культура,4,0.047619
мотивация,0,0.0
наставничество,0,0.0
оборудование,0,0.0
обратная связь,0,0.0
обучение,0,0.0
опыт работы,0,0.0
отдых,3,0.035714
отношение,6,0.071429
отпуск,18,0.214286
офис,1,0.011905
питание,2,0.02381
подарки,0,0.0
подработка,0,0.0
проживание,0,0.0
развитие,0,0.0
расположение,17,0.202381
руководство,11,0.130952
своевременная зарплата,6,0.071429
скидки для сотрудников,0,0.0
соблюдение тк,7,0.083333
соц пакет,7,0.083333
спец одежда,1,0.011905
транспорт,0,0.0
удаленная работа,0,0.0
условия,7,0.083333
